datetime,M_1_OPEN,M_1_HIGH,M_1_LOW,M_1_CLOSE,M_15_OPEN,M_15_HIGH,M_15_LOW,M_15_CLOSE
2024-08-13 04:00:00,2.61,2.95,2.31,2.86,2.5101,2.55,2.5,2.55
2024-08-13 04:01:00,2.865,2.87,2.73,2.79,2.61,2.95,2.31,2.86
2024-08-13 04:02:00,2.79,2.8,2.64,2.7,2.61,2.95,2.31,2.86
2024-08-13 04:03:00,2.7,2.75,2.68,2.69,2.61,2.95,2.31,2.86
2024-08-13 04:04:00,2.68,2.71,2.66,2.69,2.61,2.95,2.31,2.86
2024-08-13 04:05:00,2.695,2.705,2.56,2.565,2.61,2.95,2.31,2.86
2024-08-13 04:06:00,2.57,2.6,2.55,2.55,2.61,2.95,2.31,2.86
2024-08-13 04:07:00,2.545,2.55,2.48,2.49,2.61,2.95,2.31,2.86
2024-08-13 04:08:00,2.49,2.53,2.46,2.525,2.61,2.95,2.31,2.86
2024-08-13 04:09:00,2.52,2.53,2.465,2.49,2.61,2.95,2.31,2.86
2024-08-13 04:10:00,2.495,2.52,2.46,2.46,2.61,2.95,2.31,2.86
2024-08-13 04:11:00,2.45,2.45,2.35,2.37,2.61,2.95,2.31,2.86
2024-08-13 04:12:00,2.365,2.42,2.34,2.42,2.61,2.95,2.31,2.86
2024-08-13 04:13:00,2.42,2.43,2.4,2.42,2.61,2.95,2.31,2.86
2024-08-13 04:14:00,2.42,2.42,2.36,2.38,2.61,2.95,2.31,2.86
2024-08-13 04:15:00,2.405,2.41,2.375,2.4,2.865,2.87,2.34,2.38
2024-08-13 04:16:00,2.41,2.41,2.38,2.39,2.865,2.87,2.34,2.38
2024-08-13 04:17:00,2.39,2.43,2.39,2.43,2.865,2.87,2.34,2.38
2024-08-13 04:18:00,2.43,2.44,2.41,2.43,2.865,2.87,2.34,2.38
2024-08-13 04:19:00,2.43,2.45,2.43,2.44,2.865,2.87,2.34,2.38
2024-08-13 04:20:00,2.435,2.44,2.43,2.44,2.865,2.87,2.34,2.38
2024-08-13 04:21:00,2.44,2.44,2.33,2.34,2.865,2.87,2.34,2.38
2024-08-13 04:22:00,2.33,2.39,2.33,2.37,2.865,2.87,2.34,2.38
2024-08-13 04:23:00,2.365,2.37,2.36,2.37,2.865,2.87,2.34,2.38
2024-08-13 04:24:00,2.37,2.37,2.34,2.34,2.865,2.87,2.34,2.38
2024-08-13 04:25:00,2.335,2.37,2.32,2.35,2.865,2.87,2.34,2.38
2024-08-13 04:26:00,2.35,2.35,2.34,2.35,2.865,2.87,2.34,2.38
2024-08-13 04:27:00,2.36,2.36,2.35,2.36,2.865,2.87,2.34,2.38
2024-08-13 04:28:00,2.35,2.36,2.34,2.34,2.865,2.87,2.34,2.38
2024-08-13 04:29:00,2.34,2.37,2.34,2.36,2.865,2.87,2.34,2.38
